,Title,Awards,Year,is_winner,Channel
40,the handmaid’s tale,"Lead Actress, Drama",2018,False,
41,killing eve,"Lead Actress, Drama",2018,False,BBC
42,the americans,"Lead Actress, Drama",2018,False,FX
43,estworld,"Lead Actress, Drama",2018,False,
44,ozark,"Lead Actor, Drama",2018,False,Netflix
45,this is us,"Lead Actor, Drama",2018,False,ABC
46,estworld,"Lead Actor, Drama",2018,False,
47,the americans,"Lead Actor, Drama",2018,True,FX
48,this is us,"Lead Actor, Drama",2018,False,ABC
49,estworld,"Lead Actor, Drama",2018,False,
50,game of thrones,Directing for a Drama,2018,False,HBO
51,game of thrones,Directing for a Drama,2018,False,HBO
52,ozark,Directing for a Drama,2018,False,Netflix
53,ozark,Directing for a Drama,2018,False,Netflix
54,stranger things,Directing for a Drama,2018,False,Netflix
55,the crown,Directing for a Drama,2018,True,Netflix
56,the handmaid’s tale,Directing for a Drama,2018,False,
57,game of thrones,Writing for a Drama Series,2018,False,HBO
58,killing eve,Writing for a Drama Series,2018,False,BBC
59,stranger things,Writing for a Drama Series,2018,False,Netflix
60,the americans,Writing for a Drama Series,2018,True,FX
61,the crown,Writing for a Drama Series,2018,False,Netflix
62,the handmaid’s tale,Writing for a Drama Series,2018,False,
63,the handmaid’s tale,"Supporting Actress, Drama",2018,False,
64,stranger things,"Supporting Actress, Drama",2018,False,Netflix
65,the handmaid’s tale,"Supporting Actress, Drama",2018,False,
66,game of thrones,"Supporting Actress, Drama",2018,False,HBO
67,the crown,"Supporting Actress, Drama",2018,False,Netflix
68,estworld,"Supporting Actress, Drama",2018,True,
69,the handmaid’s tale,"Supporting Actress, Drama",2018,False,
70,game of thrones,"Supporting Actor, Drama",2018,False,HBO
71,game of thrones,"Supporting Actor, Drama",2018,True,HBO
72,the handmaid’s tale,"Supporting Actor, Drama",2018,False,
73,stranger things,"Supporting Actor, Drama",2018,False,Netflix
74,homeland,"Supporting Actor, Drama",2018,False,Showtime
75,the crown,"Supporting Actor, Drama",2018,False,Netflix
76,dave chappelle: equanimity,Directing for a Variety Special,2018,False,Netflix
77,jerry seinfeld: jerry before seinfeld,Directing for a Variety Special,2018,False,Netflix
78,steve martin & martin short: an evening you will forget for the rest of your life,Directing for a Variety Special,2018,False,
79,super bowl lii halftime show starring justin timberlake,Directing for a Variety Special,2018,False,
80,the oscars,Directing for a Variety Special,2018,True,ABC
81,full frontal with samantha bee presents: the great american,Writing for a Variety Special,2018,False,
82,john mulaney: kid gorgeous at radio city,Writing for a Variety Special,2018,True,
83,michelle wolf: nice lady,Writing for a Variety Special,2018,False,HBO
84,patton oswalt: annihilation,Writing for a Variety Special,2018,False,Netflix
85,steve martin & martin short: an evening you will forget for the rest of your life,Writing for a Variety Special,2018,False,
86,genius: picasso,"Lead Actor, TV Movie/Limited Series",2018,False,
87,the assassination of gianni versace: american crime story,"Lead Actor, TV Movie/Limited Series",2018,True,
88,patrick melrose,"Lead Actor, TV Movie/Limited Series",2018,False,Showtime
89,the looming tower,"Lead Actor, TV Movie/Limited Series",2018,False,Hulu
