Index,Title,Awards,Year,is_winner
279,Fargo,Directing for a TV Movie/Limited Series,2017,FALSE
280,Feud: Bette and Joan,Directing for a TV Movie/Limited Series,2017,FALSE
281,Genius,Directing for a TV Movie/Limited Series,2017,FALSE
282,The Night Of,Directing for a TV Movie/Limited Series,2017,FALSE
283,The Night Of,Directing for a TV Movie/Limited Series,2017,FALSE
284,Baskets,"Supporting Actor, Comedy",2017,FALSE
285,Saturday Night Live,"Supporting Actor, Comedy",2017,TRUE
286,Unbreakable Kimmy Schmidt,"Supporting Actor, Comedy",2017,FALSE
287,Modern Family,"Supporting Actor, Comedy",2017,FALSE
288,Veep,"Supporting Actor, Comedy",2017,FALSE
289,Veep,"Supporting Actor, Comedy",2017,FALSE
290,The Americans,Writing for a Drama Series,2017,FALSE
291,Better Call Saul,Writing for a Drama Series,2017,FALSE
292,The Crown,Writing for a Drama Series,2017,FALSE
293,The Handmaid’s Tale,Writing for a Drama Series,2017,TRUE
294,Stranger Things,Writing for a Drama Series,2017,FALSE
295,Westworld,Writing for a Drama Series,2017,FALSE
296,Billy on the Street,Variety Sketch Series,2017,FALSE
297,Documentary Now!,Variety Sketch Series,2017,FALSE
298,Drunk History,Variety Sketch Series,2017,FALSE
299,Portlandia,Variety Sketch Series,2017,FALSE
300,Saturday Night Live,Variety Sketch Series,2017,TRUE
301,Tracy Ullman’s Show,Variety Sketch Series,2017,FALSE
302,Atlanta,Directing for a Comedy Series,2017,TRUE
303,Silicon Valley,Directing for a Comedy Series,2017,FALSE
304,Veep,Directing for a Comedy Series,2017,FALSE
305,Veep,Directing for a Comedy Series,2017,FALSE
306,Veep,Directing for a Comedy Series,2017,FALSE
307,Feud: Bette and Joan,"Supporting Actress, TV Movie/Limited Series",2017,FALSE
308,Big Little Lies,"Supporting Actress, TV Movie/Limited Series",2017,TRUE
309,Feud: Bette and Joan,"Supporting Actress, TV Movie/Limited Series",2017,FALSE
310,American Crime,"Supporting Actress, TV Movie/Limited Series",2017,FALSE
311,The Wizard of Lies,"Supporting Actress, TV Movie/Limited Series",2017,FALSE
312,Big Little Lies,"Supporting Actress, TV Movie/Limited Series",2017,FALSE
313,Saturday Night Live,"Supporting Actress, Comedy",2017,FALSE
314,Veep,"Supporting Actress, Comedy",2017,FALSE
315,Transparent,"Supporting Actress, Comedy",2017,FALSE
316,Saturday Night Live,"Supporting Actress, Comedy",2017,FALSE
317,Transparent,"Supporting Actress, Comedy",2017,FALSE
318,Saturday Night Live,"Supporting Actress, Comedy",2017,TRUE
319,Better Call Saul,"Supporting Actor, Drama",2017,FALSE
320,This Is Us,"Supporting Actor, Drama",2017,FALSE
321,Stranger Things,"Supporting Actor, Drama",2017,FALSE
322,House of Cards,"Supporting Actor, Drama",2017,FALSE
323,The Crown,"Supporting Actor, Drama",2017,TRUE
324,Homeland,"Supporting Actor, Drama",2017,FALSE
325,Westworld,"Supporting Actor, Drama",2017,FALSE
326,The Americans,Drama Series,2018,FALSE
327,The Crown,Drama Series,2018,FALSE
328,Game of Thrones,Drama Series,2018,TRUE
329,The Handmaid’s Tale,Drama Series,2018,FALSE
330,Stranger Things,Drama Series,2018,FALSE
331,This Is Us,Drama Series,2018,FALSE
332,estworld,Drama Series,2018,FALSE
333,Atlanta,Comedy Series,2018,FALSE
334,Barry,Comedy Series,2018,FALSE
335,Black-ish,Comedy Series,2018,FALSE
336,Curb Your Enthusiasm,Comedy Series,2018,FALSE
337,GLOW,Comedy Series,2018,FALSE
338,The Marvelous Mrs. Maisel,Comedy Series,2018,TRUE
339,Silicon Valley,Comedy Series,2018,FALSE
340,Unbreakable Kimmy Schmidt,Comedy Series,2018,FALSE
341,The Alienist,Limited Series,2018,FALSE
342,The Assassination of Gianni Versace: American Crime Story,Limited Series,2018,TRUE
343,Genius: Picasso,Limited Series,2018,FALSE
344,Godless,Limited Series,2018,FALSE
345,Patrick Melrose,Limited Series,2018,FALSE
346,The Daily Show with Trevor Noah,Variety Talk Series,2018,FALSE
347,Full Frontal with Samantha Bee,Variety Talk Series,2018,FALSE
348,Jimmy Kimmel Live!,Variety Talk Series,2018,FALSE
349,Last Week Tonight with John Oliver,Variety Talk Series,2018,TRUE
350,The Late Late Show with James Corden,Variety Talk Series,2018,FALSE
351,The Late Show With Stephen Colbert,Variety Talk Series,2018,FALSE
352,At Home with Amy Sedaris,Variety Sketch Series,2018,FALSE
353,Drunk History,Variety Sketch Series,2018,FALSE
354,Love You America,Variety Sketch Series,2018,FALSE
355,Portlandia,Variety Sketch Series,2018,FALSE
356,Saturday Night Live,Variety Sketch Series,2018,TRUE
357,Tracey Ullman’s Show,Variety Sketch Series,2018,FALSE
358,The Amazing Race,Reality Competition Series,2018,FALSE
359,American Ninja Warrior,Reality Competition Series,2018,FALSE
360,Project Runway,Reality Competition Series,2018,FALSE
361,uPaul’s Drag Race,Reality Competition Series,2018,TRUE
362,Top Chef,Reality Competition Series,2018,FALSE
363,The Voice,Reality Competition Series,2018,FALSE
364,The Crown,"Lead Actress, Drama",2018,TRUE
365,Orphan Black,"Lead Actress, Drama",2018,FALSE
366,The Handmaid’s Tale,"Lead Actress, Drama",2018,FALSE
367,Killing Eve,"Lead Actress, Drama",2018,FALSE
368,The Americans,"Lead Actress, Drama",2018,FALSE
369,estworld,"Lead Actress, Drama",2018,FALSE
370,Ozark,"Lead Actor, Drama",2018,FALSE
371,This Is Us,"Lead Actor, Drama",2018,FALSE
372,estworld,"Lead Actor, Drama",2018,FALSE
373,The Americans,"Lead Actor, Drama",2018,TRUE
374,This Is Us,"Lead Actor, Drama",2018,FALSE
375,estworld,"Lead Actor, Drama",2018,FALSE
376,Game of Thrones,Directing for a Drama,2018,FALSE
377,Game of Thrones,Directing for a Drama,2018,FALSE
378,Ozark,Directing for a Drama,2018,FALSE
379,Ozark,Directing for a Drama,2018,FALSE
380,Stranger Things,Directing for a Drama,2018,FALSE
381,The Crown,Directing for a Drama,2018,TRUE
382,The Handmaid’s Tale,Directing for a Drama,2018,FALSE
383,Game of Thrones,Writing for a Drama Series,2018,FALSE
384,Killing Eve,Writing for a Drama Series,2018,FALSE
385,Stranger Things,Writing for a Drama Series,2018,FALSE
386,The Americans,Writing for a Drama Series,2018,TRUE
387,The Crown,Writing for a Drama Series,2018,FALSE
388,The Handmaid’s Tale,Writing for a Drama Series,2018,FALSE
389,The Handmaid’s Tale,"Supporting Actress, Drama",2018,FALSE
390,Stranger Things,"Supporting Actress, Drama",2018,FALSE
391,The Handmaid’s Tale,"Supporting Actress, Drama",2018,FALSE
392,Game of Thrones,"Supporting Actress, Drama",2018,FALSE
393,The Crown,"Supporting Actress, Drama",2018,FALSE
394,estworld,"Supporting Actress, Drama",2018,TRUE
395,The Handmaid’s Tale,"Supporting Actress, Drama",2018,FALSE
396,Game of Thrones,"Supporting Actor, Drama",2018,FALSE
397,Game of Thrones,"Supporting Actor, Drama",2018,TRUE
398,The Handmaid’s Tale,"Supporting Actor, Drama",2018,FALSE
399,Stranger Things,"Supporting Actor, Drama",2018,FALSE
400,Homeland,"Supporting Actor, Drama",2018,FALSE
401,The Crown,"Supporting Actor, Drama",2018,FALSE
402,Dave Chappelle: Equanimity,Directing for a Variety Special,2018,FALSE
403,Jerry Seinfeld: Jerry Before Seinfeld,Directing for a Variety Special,2018,FALSE
404,Steve Martin & Martin Short: An Evening You Will Forget for the Rest of Your Life,Directing for a Variety Special,2018,FALSE
405,Super Bowl LII Halftime Show Starring Justin Timberlake,Directing for a Variety Special,2018,FALSE
406,The Oscars,Directing for a Variety Special,2018,TRUE
407,Full Frontal with Samantha Bee,Directing for a Variety Special,2018,FALSE
408,John Mulaney: Kid Gorgeous at Radio City,Writing for a Variety Special,2018,TRUE
409,Michelle Wolf: Nice Lady,Writing for a Variety Special,2018,FALSE
410,Patton Oswalt: Annihilation,Writing for a Variety Special,2018,FALSE
411,Steve Martin & Martin Short: An Evening You Will Forget for the Rest of Your Life,Writing for a Variety Special,2018,FALSE
412,Genius: Picasso,"Lead Actor, TV Movie/Limited Series",2018,FALSE
413,The Assassination of Gianni Versace: American Crime Story,"Lead Actor, TV Movie/Limited Series",2018,TRUE
414,Patrick Melrose,"Lead Actor, TV Movie/Limited Series",2018,FALSE
415,The Looming Tower,"Lead Actor, TV Movie/Limited Series",2018,FALSE
416,Jesus Christ Superstar Live in Concert,"Lead Actor, TV Movie/Limited Series",2018,FALSE
417,Black Mirror,"Lead Actress, TV Movie/Limited Series",2018,FALSE
418,The Sinner,"Lead Actress, TV Movie/Limited Series",2018,FALSE
419,The Tale,"Lead Actress, TV Movie/Limited Series",2018,FALSE
420,Godless,"Lead Actress, TV Movie/Limited Series",2018,FALSE
421,Law & Order True Crime: The Menendez Murders,"Lead Actress, TV Movie/Limited Series",2018,FALSE
422,Seven Seconds,"Lead Actress, TV Movie/Limited Series",2018,TRUE
423,American Horror Story,"Lead Actress, TV Movie/Limited Series",2018,FALSE
424,Godless,Directing for a TV Movie/Limited Series,2018,FALSE
425,Jesus Christ Superstar Live in Concert,Directing for a TV Movie/Limited Series,2018,FALSE
426,Paterno,Directing for a TV Movie/Limited Series,2018,FALSE
427,Twin Peaks,Directing for a TV Movie/Limited Series,2018,FALSE
428,Patrick Melrose,Directing for a TV Movie/Limited Series,2018,FALSE
429,The Assassination of Gianni Versace: American Crime Story,Directing for a TV Movie/Limited Series,2018,TRUE
430,The Looming Tower,Directing for a TV Movie/Limited Series,2018,FALSE
431,American Vandal,Writing for a TV Movie/Limited Series,2018,FALSE
432,Godless,Writing for a TV Movie/Limited Series,2018,FALSE
433,Patrick Melrose,Writing for a TV Movie/Limited Series,2018,FALSE
434,The Assassination of Gianni Versace: American Crime Story,Writing for a TV Movie/Limited Series,2018,FALSE
435,Twin Peaks,Writing for a TV Movie/Limited Series,2018,FALSE
436,Black Mirror,Writing for a TV Movie/Limited Series,2018,FALSE
437,Godless,"Supporting Actor, TV Movie/Limited Series",2018,TRUE
438,Jesus Christ Superstar Live in Concert,"Supporting Actor, TV Movie/Limited Series",2018,FALSE
439,aco,"Supporting Actor, TV Movie/Limited Series",2018,FALSE
440,The Assassination of Gianni Versace: American Crime Story,"Supporting Actor, TV Movie/Limited Series",2018,FALSE
