index,title,awards,year,is_winner,channel
302,atlanta,Directing for a Comedy Series,2017,TRUE,FX
303,silicon valley,Directing for a Comedy Series,2017,FALSE,HBO
304,veep,Directing for a Comedy Series,2017,FALSE,HBO
305,veep,Directing for a Comedy Series,2017,FALSE,HBO
306,veep,Directing for a Comedy Series,2017,FALSE,HBO
307,feud: bette and joan,"Supporting Actress, TV Movie/Limited Series",2017,FALSE,FX
308,big little lies,"Supporting Actress, TV Movie/Limited Series",2017,TRUE,HBO
309,feud: bette and joan,"Supporting Actress, TV Movie/Limited Series",2017,FALSE,FX
310,american crime,"Supporting Actress, TV Movie/Limited Series",2017,FALSE,ABC
311,the wizard of lies,"Supporting Actress, TV Movie/Limited Series",2017,FALSE,HBO
312,big little lies,"Supporting Actress, TV Movie/Limited Series",2017,FALSE,HBO
313,saturday night live,"Supporting Actress, Comedy",2017,FALSE,NBC
314,veep,"Supporting Actress, Comedy",2017,FALSE,HBO
315,transparent,"Supporting Actress, Comedy",2017,FALSE,Amazon Studios
316,saturday night live,"Supporting Actress, Comedy",2017,FALSE,NBC
317,transparent,"Supporting Actress, Comedy",2017,FALSE,Amazon Studios
318,saturday night live,"Supporting Actress, Comedy",2017,TRUE,NBC
319,better call saul,"Supporting Actor, Drama",2017,FALSE,Netflix
320,this is us,"Supporting Actor, Drama",2017,FALSE,ABC
321,stranger things,"Supporting Actor, Drama",2017,FALSE,Netflix
322,house of cards,"Supporting Actor, Drama",2017,FALSE,Netflix
323,the crown,"Supporting Actor, Drama",2017,TRUE,Netflix
324,homeland,"Supporting Actor, Drama",2017,FALSE,Showtime
325,westworld,"Supporting Actor, Drama",2017,FALSE,HBO
326,the americans,Drama Series,2018,FALSE,FX
327,the crown,Drama Series,2018,FALSE,Netflix
328,game of thrones,Drama Series,2018,TRUE,HBO
329,the handmaid’s tale,Drama Series,2018,FALSE,
330,stranger things,Drama Series,2018,FALSE,Netflix
331,this is us,Drama Series,2018,FALSE,ABC
332,estworld,Drama Series,2018,FALSE,
333,atlanta,Comedy Series,2018,FALSE,FX
334,barry,Comedy Series,2018,FALSE,HBO
335,black-ish,Comedy Series,2018,FALSE,ABC
336,curb your enthusiasm,Comedy Series,2018,FALSE,HBO
337,glow,Comedy Series,2018,FALSE,Netflix
338,the marvelous mrs. maisel,Comedy Series,2018,TRUE,
339,silicon valley,Comedy Series,2018,FALSE,HBO
340,unbreakable kimmy schmidt,Comedy Series,2018,FALSE,Netflix
341,the alienist,Limited Series,2018,FALSE,TNT
342,the assassination of gianni versace: american crime story,Limited Series,2018,TRUE,
343,genius: picasso,Limited Series,2018,FALSE,
344,godless,Limited Series,2018,FALSE,Netflix
345,patrick melrose,Limited Series,2018,FALSE,Showtime
346,the daily show with trevor noah,Variety Talk Series,2018,FALSE,Comedy Central
347,full frontal with samantha bee,Variety Talk Series,2018,FALSE,TBS
348,jimmy kimmel live!,Variety Talk Series,2018,FALSE,ABC
349,last week tonight with john oliver,Variety Talk Series,2018,TRUE,HBO
350,the late late show with james corden,Variety Talk Series,2018,FALSE,CBS
351,the late show with stephen colbert,Variety Talk Series,2018,FALSE,CBS
352,at home with amy sedaris,Variety Sketch Series,2018,FALSE,truTV
353,drunk history,Variety Sketch Series,2018,FALSE,Comedy Central
354,love you america,Variety Sketch Series,2018,FALSE,Hulu
355,portlandia,Variety Sketch Series,2018,FALSE,IFC
356,saturday night live,Variety Sketch Series,2018,TRUE,NBC
357,tracey ullman’s show,Variety Sketch Series,2018,FALSE,
358,the amazing race,Reality Competition Series,2018,FALSE,CBS
359,american ninja warrior,Reality Competition Series,2018,FALSE,NBC
360,project runway,Reality Competition Series,2018,FALSE,Lifetime
361,upaul’s drag race,Reality Competition Series,2018,TRUE,
362,top chef,Reality Competition Series,2018,FALSE,Bravo
363,the voice,Reality Competition Series,2018,FALSE,NBC
364,the crown,"Lead Actress, Drama",2018,TRUE,Netflix
365,orphan black,"Lead Actress, Drama",2018,FALSE,BBC
366,the handmaid’s tale,"Lead Actress, Drama",2018,FALSE,
367,killing eve,"Lead Actress, Drama",2018,FALSE,BBC
368,the americans,"Lead Actress, Drama",2018,FALSE,FX
369,estworld,"Lead Actress, Drama",2018,FALSE,
370,ozark,"Lead Actor, Drama",2018,FALSE,Netflix
371,this is us,"Lead Actor, Drama",2018,FALSE,ABC
372,estworld,"Lead Actor, Drama",2018,FALSE,
373,the americans,"Lead Actor, Drama",2018,TRUE,FX
374,this is us,"Lead Actor, Drama",2018,FALSE,ABC
375,estworld,"Lead Actor, Drama",2018,FALSE,
376,game of thrones,Directing for a Drama,2018,FALSE,HBO
377,game of thrones,Directing for a Drama,2018,FALSE,HBO
378,ozark,Directing for a Drama,2018,FALSE,Netflix
379,ozark,Directing for a Drama,2018,FALSE,Netflix
380,stranger things,Directing for a Drama,2018,FALSE,Netflix
381,the crown,Directing for a Drama,2018,TRUE,Netflix
382,the handmaid’s tale,Directing for a Drama,2018,FALSE,
383,game of thrones,Writing for a Drama Series,2018,FALSE,HBO
384,killing eve,Writing for a Drama Series,2018,FALSE,BBC
385,stranger things,Writing for a Drama Series,2018,FALSE,Netflix
386,the americans,Writing for a Drama Series,2018,TRUE,FX
387,the crown,Writing for a Drama Series,2018,FALSE,Netflix
388,the handmaid’s tale,Writing for a Drama Series,2018,FALSE,
389,the handmaid’s tale,"Supporting Actress, Drama",2018,FALSE,
390,stranger things,"Supporting Actress, Drama",2018,FALSE,Netflix
391,the handmaid’s tale,"Supporting Actress, Drama",2018,FALSE,
392,game of thrones,"Supporting Actress, Drama",2018,FALSE,HBO
393,the crown,"Supporting Actress, Drama",2018,FALSE,Netflix
394,estworld,"Supporting Actress, Drama",2018,TRUE,
395,the handmaid’s tale,"Supporting Actress, Drama",2018,FALSE,
396,game of thrones,"Supporting Actor, Drama",2018,FALSE,HBO
397,game of thrones,"Supporting Actor, Drama",2018,TRUE,HBO
